"C01","C02","C03","C04","C05","C06","C07","C08","C09","C10","T01","T02","T03","T04","T05","T06","T07","T08","T09","T10"
"PPP6R3",7,15561,7,0,1,0,2,32,1482,4,0,0,0,1,0,0,0,1215,0,4
"RPS3",11,10780,0,1,1,1,0,7,7,8,6,0,0,0,5,0,0,11359,10,1
"USP35",1,1609,8,0,1,0,2,4,0,11,0,0,0,0,0,3,0,0,0,0
"RPS25",49,124547,23024,16396,24854,19,7,56461,87639,26,16,54066,4,22,68353,5267,1,102616,14,5
"HSPA8",6,9158,2,1294,1,1,0,2,6,3,15,42106,0,4,2,102,0,0,31,0
"WNK1",2,8484,6,2,10,3,0,6344,0,0,3989,2,0,0,0,0,0,2,0,1
"GAPDH",5,21155,1,894,1,3,0,4,23,30,0,1,0,6,13589,31,0,97385,3,3
"RPL13AP20",2,3176,457,4,0,3,1,0,2,3,6,20,0,0,0,0,0,2,0,0
"ARHGDIB",4,14787,2,2,0,5,2,0,0,0,0,0,0,0,2,0,0,0,14,0
"KRAS",10,1146,2103,1644,19,51020,20,2233,52,103,332,16,355,92,145,7,34,10,28,2
"SLC38A2",8,1371,6,26,8,132428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIN2",0,11,2,12284,3,11,28261,0,0,0,0,0,0,0,0,0,0,0,0,0
"PFDN5",9,40990,0,8,0,11,3,0,0,0,15,124084,3,6,6,38,5,0,0,0
"RPL41",11,32923,1,5,6856,12,7,0,382,0,8,1108,0,0,3619,2,0,574,3,0
"NACA",13,22679,7,135,1431,83624,4,39,270055,9,0,27,0,17,32682,46,0,31663,3,6
"LYZ",13,20749,2,3,0,4,0,0,0,0,0,29,0,2,1090,128,0,0,0,0
"NUDT4",1,24,0,8,23519,59,73024,5,0,6,0,0,0,3,0,0,0,2,0,0
"RPL6",12,19196,20,5272,10924,4,3,70,356878,10,5,3583,0,3,11189,0,0,47953,495,7
"TBX3",3,10,1,11,35,46,259908,0,0,0,0,0,0,0,0,0,0,0,0,4
"UBC",0,5395,0,1,0,6,7015,221,3,10,0,524,0,55,3086,39,0,139,50855,0
"SFSWAP",4,2,4,0,4,0,3,8,2,1,0,0,0,0,0,0,0,0,0,0
"RPL21",2,7423,0,0,0,0,0,28774,574,3,2,98,0,0,1,0,0,2326,0,1
"GTF3A",0,9799,3,4,9,23930,1,4,1,6,0,0,0,0,0,0,0,34451,2,0
"TPT1",60,213581,15,28,7,21,26,2866,26868,996431,39,211988,6,21,79568,66,4,141556,780,38
"ZC3H13",2,13669,0,3,1,2,2,0,0,14,3,23317,2,0,1,597,2,0,0,0
"LCP1",6,6613,2,0,2,3,1,0,2,28,0,20,18,18,1,0,0,0,1,0
"FNDC3A",1,4124,2,1,8,6,39270,0,1,0,0,0,0,0,0,24,0,3,0,0
"SLAIN1",4,14917,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAP2A",1,4,5,29,100782,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"SNORA79B",4,23662,0,1,0,7,0,5,43,71956,3,4548,4,17,41829,1,0,25,25241,2
"STRN3",10,5806,0,0,1,4,0,0,2,6,0,0,0,0,0,30,0,47041,4,0
"PNN",3,7451,0,0,0,4,7768,0,4,7,8,3,0,0,0,0,0,0,0,0
"LRFN5",2,0,8,11769,0,0,0,10,0,4,0,2,0,0,0,2,0,0,0,0
"RPS29",3,31422,2,2,1,2,911,0,4705,26,19,9,2,9,12441,40,0,275,2,0
"RN7SL1",2570,60982,4444,696,69,19947,7681,1572,48383,6,10,15804,12,27866,72480,18,31454,24256,72083,7
"RN7SL3",836,16920,1327,34,3,385,557,25,3684,5,3,3897,1,708,17034,1,12065,13402,8487,1
"STYX",2,9229,4,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
"SIPA1L1",9,3,9,0,0,17,8,13,0,12,1,0,0,0,6,18,2,10,0,13
"SNORA79",17,18362,0,2,0,5,5,7,0,0,0,0,0,2,5465,0,0,16060,2,1
"CALM1",10,26,0,4,2581,0,0,0,46,9,11541,41963,3,8,1,6,0,18282,0,0
"CCDC88C",6,2877,2,3,0,0,1,6,0,0,0,7675,0,0,0,109,3,0,0,0
"HSP90AA1",11,19565,5615,0,0,44,16,0,0,3,7,12638,0,1,1220,50,0,1676,0,0
"HERC2",5,0,5,3,0,3,0,12,0,4,0,0,9,1,0,0,0,3,1,0
"B2M",3,9904,2,0,0,4,0,32,6,17,0,4,0,0,787,0,0,29911,6,1
"RFX7",4,12341,10,2,2,0,0,0,0,4,0,0,0,0,0,2285,0,14,0,5
"LOC107984805",4,0,6,0,0,0,4,13,0,4,3,0,66,35,2,38,0,4,6,11
"DENND4A",10,34457,0,4,0,6,2,11,0,0,0,0,0,0,0,0,0,0,0,0
"PIAS1",4,9706,0,2,1,0,0,5,32628,0,2,0,0,0,0,0,0,8,0,2
"RPLP1",6,21225,1,5,0,7,1,66767,110,3,15,2552,6,2,8348,1257,0,7264,14210,4
"PKM",11,208,0,0,2,0,8,0,2426,0,1,0,0,14,0,0,0,0,1,0
"ZFAND6",9,21418,0,4,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPS17",1,12758,3,24,27960,1,0,14,6,2,19,25330,67,0,2031,4,1,305,42657,0
"AKAP13",2,7348,2,0,1,4,0,0,0,0,0,0,6,0,0,24,0,0,12,0
"HBA2",19,38664,40,18,12,55,39,153,152,0,2,125,111,186,5334,101,4,5876,189,0
"HBA1",24,48021,41,15,11,27,47,134,9721,0,3,77,30,160,7848,50,6,5720,162,4
"RPS2",4,23217,0,1048,0,88,2,6480,75,26,10,69328,1,0,3,73,1,139464,1195,3
"RPS15A",47,168326,4,13,3,35,6,7,72011,7583,20,102948,11,18736,44370,19,4,27239,4,1
"SMG1",2,4409,1,0,0,11,0,0,21,71,8,3,0,0,0,56,0,0,0,0
"EIF3CL",1,5571,0,0,0,21,2,0,0,5,1,2,0,0,0,15,0,0,0,0
"CHD9",6,16450,8,3,0,10,2,0,47,6,0,2786,0,0,6,0,8,0,0,2
"RPL13",3,10852,0,8830,0,1,4,3,3849,4,0,1421,0,0,61,0,0,12053,23252,1
"RPL26",5,15743,5,0,22,1,1,0,691,0,10,1078,0,0,31,9230,0,46,5,0
"UBB",13,20386,1,35,20,13074,238,1,0,0,12,3,0,1,0,42,0,684,23,0
"RPL23A",2,18417,0,1,1,3,0,8,39639,3,0,6086,0,0,400,0,0,17389,1,2
"LOC107984974",4,15472,0,7,3589,1,3,4,2421,0,12,586,0,0,2238,1,0,546,417,0
"ZNF207",8,11829,2,0,1,0,0,10,6,0,3,0,0,0,0,5,0,0,0,2
"RPL23",30,57575,1,8,11980,19,6,2,23,13,3,1527,1,7,21921,19,0,19607,13,1
"RPL19",6,29822,5,4,1,2,6,2,4274,23,5,31618,0,0,1114,11,0,9790,75106,1
"RPL27",12,35667,1,3,1,12,1,8,7,30,18,131852,4,13,25701,21,4,76488,20,1
"DHX8",11,14808,0,0,8,7,1,0,0,4,2,0,0,0,2,14,0,7,0,0
"NACA2",1,519,0,12,2,2297,1,0,1231,0,0,0,0,0,118,0,0,1028,0,0
"CSH2",0,91,0,0,1,0,12153,120,3422,5218,0,0,0,26,351,0,2942,14247,3457,3
"CSH1",0,560,17,0,3,6,15886,11883,2615,5113,0,405,0,45,185,27,1847,14024,2237,2
"CSHL1",0,9,4,0,0,0,229,247,50,123,0,63,0,11,24,0,50,592,792,0
"PRKAR1A",2,7551,0,1,2,0,1,8,12086,1,0,0,0,0,2,4,0,0,0,0
"ACTG1",0,4073,0,107,18,2,1,36,4876,13,1,13623,1,5,1442,5,0,14,0,0
"SMCHD1",10,13206,0,0,2,0,2,11,11,32,0,0,0,6,6857,0,0,45,222480,4
"L3MBTL4",0,0,0,0,0,4,2,5,12,6,0,0,0,0,0,0,0,0,0,0
